编码-公司名,编码,公司名-简体,公司名-繁体,本位币,父节点编号,父节点中文名称,share,合并节点,最新更新日期
PRC0100 - PRC GAAP组织结构,PRC0100,PRC GAAP组织结构,PRC GAAP組織結構,CNY,PRC0100,,,TRUE,7/3/2012
CRNC100 - 中国华润总公司(PRC合并),CRNC100,中国华润总公司(PRC合并),中國華潤總公司(PRC合併),CNY,PRC0100,PRC GAAP组织结构,,TRUE,7/3/2012
CRNC000 - 中国华润总公司,CRNC000,中国华润总公司,中國華潤總公司,CNY,CRNC100,中国华润总公司(PRC合并),,,7/3/2012
BXL0000 - 北京新联协创房地产开发有限公司-已注销,BXL0000,北京新联协创房地产开发有限公司-已注销,北京新聯協創房地產開發有限公司-已登出,CNY,CRNC100,中国华润总公司(PRC合并),TRUE,,7/3/2012
CRC0100 - 华润股份有限公司(PRC合并),CRC0100,华润股份有限公司(PRC合并),華潤股份有限公司(PRC合併),CNY,CRNC100,中国华润总公司(PRC合并),,TRUE,7/3/2012
CRC0000 - 华润股份有限公司,CRC0000,华润股份有限公司,華潤股份有限公司,CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
GFSZ000 - 华润股份有限公司深圳分公司,GFSZ000,华润股份有限公司深圳分公司,華潤股份有限公司深圳分公司,CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
BFT0000 - 北京华夏货运有限公司,BFT0000,北京华夏货运有限公司,北京華夏貨運有限公司,CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
BJPM100 - 北京医药集团有限责任公司(PRC合并),BJPM100,北京医药集团有限责任公司(PRC合并),北京醫藥集團有限責任公司(PRC合併),CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
BJPM190 - 北京医药集团有限责任公司(PRC虚拟节点),BJPM190,北京医药集团有限责任公司(PRC虚拟节点),北京醫藥集團有限責任公司(PRC虛擬節點),CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
BYD0000 - 华润(保定)白洋淀管理培训学院服务有限公司,BYD0000,华润(保定)白洋淀管理培训学院服务有限公司,華潤(保定)白洋澱管理培訓學院服務有限公司,CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
CCIA100 - 中国康力克进出口有限公司(PRC合并),CCIA100,中国康力克进出口有限公司(PRC合并),中國康力克進出口有限公司(PRC合併),CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
CCIA190 - 中国康力克进出口有限公司(PRC虚拟节点),CCIA190,中国康力克进出口有限公司(PRC虚拟节点),中國康力克進出口有限公司(PRC虛擬節點),CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
CCIA180 - 中国康力克进出口有限公司(PRC共同父节点反冲),CCIA180,中国康力克进出口有限公司(PRC共同父节点反冲),中國康力克進出口有限公司(PRC共同父節點反沖),CNY,CRC0100,华润股份有限公司(PRC合并),,,7/3/2012
CNI0100 - 中国南洋进出口有限公司(PRC合并),CNI0100,中国南洋进出口有限公司(PRC合并),中國南洋進出口有限公司(PRC合併),CNY,CRC0100,华润股份有限公司(PRC合并),TRUE,,7/3/2012
CRH0100 - 华润(集团)有限公司(PRC合并),CRH0100,华润(集团)有限公司(PRC合并),華潤(集團)有限公司(PRC合併),HKD,CRC0100,华润股份有限公司(PRC合并),,TRUE,7/3/2012
CRH0000 - 华润(集团)有限公司,CRH0000,华润(集团)有限公司,華潤(集團)有限公司,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
ALA0000 - Argo Luck Ltd,ALA0000,Argo Luck Ltd,Argo Luck Ltd,HKD,CRH0100,华润(集团)有限公司(PRC合并),,,7/3/2012
APPV100 - 长春置地(PRC合并),APPV100,长春置地(PRC合并),長春置地(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
APPV000 - 长春置地,APPV000,长春置地,長春置地,HKD,APPV100,长春置地(PRC合并),,,7/3/2012
APP0100 - APP (THAILAND) LIMITED(PRC合并),APP0100,APP (THAILAND) LIMITED(PRC合并),APP (THAILAND) LIMITED(PRC合併),THB,APPV100,长春置地(PRC合并),,TRUE,7/3/2012
APP0000 - APP (THAILAND) LIMITED,APP0000,APP (THAILAND) LIMITED,APP (THAILAND) LIMITED,THB,APP0100,APP (THAILAND) LIMITED(PRC合并),,,7/3/2012
MMG0100 - MMG (Thailand) Ltd.(PRC合并),MMG0100,MMG (Thailand) Ltd.(PRC合并),MMG (Thailand) Ltd.(PRC合併),THB,APP0100,APP (THAILAND) LIMITED(PRC合并),TRUE,,7/3/2012
