   ,ID,COMPANYCODE,CHINESENAME,LASTCHINESENAME,TRADITIONALCHINESENAME,LASTTRADITIONALCHINESENAME,ENGLISHNAME,LASTENGLISHNAME,BUSINESSLICENSE,COMPANYREGISTRATIONTYPES,CHINESEADDRESS,TRADITIONALADDRESS,ENGLISHADDRESS,LEGAL,DATEESTABLISHMENT,BUSINESSSCOPE,BUSINESSSTARTDATE,BUSINESSENDDATE,AUTHORISEDSHARECAPITAL,CURRENCY,COMPANYTYPE,HELD,BUSINESSCONDITIONS,GENERATIONMANAGEMENT,AUTHORISEDSHARECAPITALNUMBER,MDM_CODE,UPDATECREATEDATE
1,8ab4ff98325219210132521b17ce01a5,WINJACKHNG,,,,競績服務有限公司,Win Jack Hong Development Limited,Win Jack Service Limited,,香港,,,"2/F., Yuen Fat Building; 89 Yen Chow Street West, West Kowloon Reclamation; Hong Kong",,1987/9/15,<CLOB>,,,,,私营股份公司,,辞职服务,,1000000,,2001/9/28
2,4028807b3203cb3b0132041ff93d0318,CRSB_0077,华润雪花啤酒（甘肃）有限公司,,華潤雪花啤酒（甘肅）有限公司,,,,620100400000209（1－1）,中国,兰州安宁区安宁西路498号安宁区政府招待所三楼,,,王群;王群;Wang Qun,2007/2/2,<CLOB>,2007/2/2,2057/2/1,31000000,美元,有限责任公司,全资子公司,经营中[营运],,,,
3,4028807b320044f401320090582d0177,VAN_0129,苏果超市定远有限公司,,蘇果超市定遠有限公司,,,,3.41125E+14,中国,滁州市定远县定城镇曲阳路商业步行街1号综合楼一、二层,,,马嘉樑;馬嘉樑;,2008/12/17,<CLOB>,,,5000000,,有限责任公司,非全资子公司,经营中[营运],,,,2012/5/22
4,8ab4ffdd3246d737013246f007030125,,明励有限公司,,明勵有限公司,,DRIVELIGHT LIMITED,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town; Tortola; British Virgin Islands",,2009/4/3,<CLOB>,,,,,私营公司,,辞职服务,,50000,,
5,8ab4ff983252192101325219ebcc0012,BUILDING,,,,,CRE Building (BVI) Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town, Tortola; British Virgin Islands",,2002/6/18,<CLOB>,,,,,私营公司,,标记为删除,,50000,,2002/6/21
6,8ab4ff983252192101325219ec840013,CRR_0003,中艺服装有限公司,,中藝服裝有限公司,,CAC Garment Limited,,,香港,,,39/F China Resources Building; 26 Harbour Road; Wanchai; Hong Kong; People's Republic of China,,1994/8/9,<CLOB>,,,,,私营股份公司,全资子公司,经营中[营运],,12000000,,2011/2/16
7,8ab4ff983252192101325219e03e0003,VAN_0001,致力投资有限公司,,致力投資有限公司,,Aiming Investments Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town, Tortola; British Virgin Islands",,2004/11/16,<CLOB>,,,,,私营公司,全资子公司,经营中[营运],,50000,,2006/2/13
8,4028807b320044f401320067f271008b,CRSB_0040,华润雪花啤酒（常州）有限公司,常州华润啤酒有限公司,華潤雪花啤酒（常州）有限公司,,,China Resources Snow Brewery (Changzhou) Company Limited,3.204E+14,中国,常州国家高新技术产业开发区乐山路,,,王群;王群;Wang Qun,2005/5/27,<CLOB>,2005/5/27,2055/5/26,27841640,美元,有限责任公司,非全资子公司,经营中[营运],,,,2012/6/6
9,8ab4ff983252192101325219e3280007,AMBER-MARI,,,,,Amber Maritime (Pte) Ltd,,,新加坡,,,9 Battery Road #18-08; Straits Trading Building; Singapore 0104; Singapore,,1995/8/31,<CLOB>,,,,,私营公司,,辞职服务,,500000,,2001/10/8
10,4028807b3203cb3b0132041647090289,VAN_0123,苏果超市（铜陵）有限公司,,蘇果超市（銅陵）有限公司,,,,3.407E+12,中国,铜陵市淮河路与长江路交叉口,,,马嘉樑;馬嘉樑;,2006/12/27,<CLOB>,,,5000000,,有限责任公司,非全资子公司,经营中[营运],,,,
11,4028807b320044f40132010c6a2404a3,VAN_0128,苏果超市（盐城）有限公司,,蘇果超市（鹽城）有限公司,,,,3.209E+12,中国,盐城市解放南路108号,,,马嘉樑;馬嘉樑;,2005/9/21,<CLOB>,2005/9/21,2035/9/20,5000000,,有限责任公司,非全资子公司,经营中[营运],,,,
12,8ab4ff983252192101325219e89a000e,BOULDER,,,,,Boulder International Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town, Tortola; British Virgin Islands",,1997/10/22,<CLOB>,,,,,私营公司,,已删除,,50000,,2001/11/12
13,8ab4ffdd3246d737013246efaa200063,,,,,,GUARDWISE INVESTMENTS LIMITED,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town; Tortola; British Virgin Islands",,2005/1/7,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,
14,8ab4fdca31feadf00132001a3d4407fe,VAN_0150,华润万家生活超市（杭州）有限公司,,華潤萬家生活超市（杭州）有限公司,,,,330100400036910（1/1）,中国,浙江省杭州市拱墅区文一路20号办公1,,,蔡立斌;蔡立斌;,2010/11/4,<CLOB>,2010/11/4,2040/11/3,1000,,有限责任公司,全资子公司,经营中[营运],,,,2012/5/21
15,8ab4ff98325219210132521aa26a0104,MILLSUCC,万成资源有限公司,,萬成資源有限公司,,Million Success Resources Limited,,,香港,,,"43/F, Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong; People's Republic of China",,2007/12/4,<CLOB>,,,,,私营股份公司,,辞职服务,,10000,,2011/4/21
16,8ab4ff98325219210132521ac45d0135,PETRUS,,,,,Petrus Developments Limited,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town, Tortola; British Virgin Islands",,1999/12/22,<CLOB>,,,,,私营公司,,辞职服务,,50000,,2001/11/19
